,DateAndTime,Irradiance
253,01-07-2021 21:00,0
254,01-07-2021 21:05,0
255,01-07-2021 21:10,0
256,01-07-2021 21:15,0
257,01-07-2021 21:20,0
258,01-07-2021 21:25,0
259,01-07-2021 21:30,0
260,01-07-2021 21:35,0
261,01-07-2021 21:40,0
262,01-07-2021 21:45,0
263,01-07-2021 21:50,0
264,01-07-2021 21:55,0
265,01-07-2021 22:00,0
266,01-07-2021 22:05,0
267,01-07-2021 22:10,0
268,01-07-2021 22:15,0
269,01-07-2021 22:20,0
270,01-07-2021 22:25,0
271,01-07-2021 22:30,0
272,01-07-2021 22:35,0
273,01-07-2021 22:40,0
274,01-07-2021 22:45,0
275,01-07-2021 22:50,0
276,01-07-2021 22:55,0
277,01-07-2021 23:00,0
278,01-07-2021 23:05,0
279,01-07-2021 23:10,0
280,01-07-2021 23:15,0
281,01-07-2021 23:20,0
282,01-07-2021 23:25,0
283,01-07-2021 23:30,0
284,01-07-2021 23:35,0
285,01-07-2021 23:40,0
286,01-07-2021 23:45,0
287,01-07-2021 23:50,0
288,01-07-2021 23:55,0
289,02-07-2021 00:00,0
290,02-07-2021 00:05,0
291,02-07-2021 00:10,0
292,02-07-2021 00:15,0
293,02-07-2021 00:20,0
294,02-07-2021 00:25,0
295,02-07-2021 00:30,0
296,02-07-2021 00:35,0
297,02-07-2021 00:40,0
298,02-07-2021 00:45,0
299,02-07-2021 00:50,0
300,02-07-2021 00:55,0
301,02-07-2021 01:00,0
302,02-07-2021 01:05,0
303,02-07-2021 01:10,0
304,02-07-2021 01:15,0
305,02-07-2021 01:20,0
306,02-07-2021 01:25,0
307,02-07-2021 01:30,0
308,02-07-2021 01:35,0
309,02-07-2021 01:40,0
310,02-07-2021 01:45,0
311,02-07-2021 01:50,0
312,02-07-2021 01:55,0
313,02-07-2021 02:00,0
314,02-07-2021 02:05,0
315,02-07-2021 02:10,0
316,02-07-2021 02:15,0
317,02-07-2021 02:20,0
318,02-07-2021 02:25,0
319,02-07-2021 02:30,0
320,02-07-2021 02:35,0
321,02-07-2021 02:40,0
322,02-07-2021 02:45,0
323,02-07-2021 02:50,0
324,02-07-2021 02:55,0
325,02-07-2021 03:00,0
326,02-07-2021 03:05,0
327,02-07-2021 03:10,0
328,02-07-2021 03:15,0
